race_id,race_date,race_no,race_type,category,profile,horse_count,status,ideal_weight_json
224921,10.05.2026,5,Maiden,MAIDEN,MAIDEN,13,ok,"{""degree_avg"": 16.487, ""degree_trend"": 53.937, ""hp_score"": 27.398, ""jockey_score"": 0.363, ""pace_score"": 1.814}"
224928,10.05.2026,6,G 1/Dişi,GRUP,GRUP,10,ok,"{""bounce_score"": 9.503, ""degree_stability"": 3.683, ""degree_trend"": 3.609, ""distance_suit"": 6.028, ""form_trend"": 7.28, ""hp_score"": 25.564, ""jockey_score"": 15.215, ""pace_score"": 3.445, ""training_degree_score"": 18.912, ""training_fitness"": 2.05, ""weight_impact"": 4.711}"
224929,10.05.2026,7,G 2,GRUP,GRUP,9,ok,"{""degree_stability"": 5.748, ""degree_trend"": 15.334, ""distance_suit"": 7.273, ""hp_score"": 41.406, ""jockey_score"": 21.382, ""pace_score"": 2.189, ""training_degree_score"": 2.582, ""weight_impact"": 4.085}"
224926,10.05.2026,8,G 3,GRUP,GRUP,6,ok,"{""bounce_score"": 11.083, ""degree_trend"": 26.789, ""distance_suit"": 23.464, ""training_degree_score"": 36.289, ""training_fitness"": 2.375}"
224922,10.05.2026,9,Maiden,MAIDEN,MAIDEN,12,ok,"{""bounce_score"": 2.6, ""degree_avg"": 19.722, ""distance_suit"": 4.702, ""form_trend"": 22.469, ""hp_score"": 45.594, ""training_fitness"": 4.913}"
224943,11.05.2026,1,Maiden/DHÖW,MAIDEN,MAIDEN,9,ok,"{""degree_avg"": 32.875, ""degree_stability"": 20.873, ""distance_suit"": 35.885, ""pedigree"": 3.788, ""training_fitness"": 5.981, ""weight_impact"": 0.598}"
224941,11.05.2026,2,Maiden/DHÖW,MAIDEN,MAIDEN,8,ok,"{""bounce_score"": 32.323, ""degree_avg"": 12.976, ""degree_stability"": 14.053, ""distance_suit"": 26.702, ""form_trend"": 2.516, ""pedigree"": 5.34, ""training_fitness"": 6.09}"
224951,11.05.2026,3,Handikap 15 /H2,HANDIKAP,HANDIKAP15|Kum,5,ok,"{""hp_score"": 63.636, ""jockey_score"": 36.364}"
224942,11.05.2026,4,Maiden/DHÖW,MAIDEN,MAIDEN,8,ok,"{""degree_stability"": 21.915, ""distance_suit"": 35.529, ""form_trend"": 10.606, ""jockey_score"": 1.495, ""pace_score"": 3.078, ""pedigree"": 1.671, ""training_degree_score"": 17.263, ""training_fitness"": 5.716, ""weight_impact"": 2.726}"
224957,11.05.2026,5,Handikap 16/DHÖ /H2,HANDIKAP,HANDIKAP16|Cim,13,ok,"{""degree_avg"": 15.313, ""distance_suit"": 5.212, ""form_trend"": 37.976, ""jockey_score"": 17.632, ""pace_score"": 7.16, ""training_fitness"": 16.706}"
224954,11.05.2026,6,ŞARTLI 4/DHÖW/Dişi,SARTLI,SART4,18,ok,"{""bounce_score"": 4.277, ""degree_avg"": 13.052, ""degree_stability"": 39.293, ""distance_suit"": 13.3, ""form_trend"": 12.944, ""hp_score"": 9.852, ""training_fitness"": 7.283}"
224956,11.05.2026,7,KV-9/DHÖW,KV,KV,6,ok,"{""degree_stability"": 15.431, ""degree_trend"": 13.441, ""distance_suit"": 4.471, ""form_trend"": 8.506, ""hp_score"": 40.881, ""training_degree_score"": 5.48, ""training_fitness"": 1.881, ""weight_impact"": 9.91}"
224950,11.05.2026,8,KV-6,KV,KV,7,ok,"{""bounce_score"": 4.408, ""degree_avg"": 50.9, ""degree_trend"": 3.564, ""distance_suit"": 7.568, ""hp_score"": 29.241, ""pace_score"": 1.259, ""training_degree_score"": 0.063, ""weight_impact"": 2.997}"
224952,11.05.2026,9,KV-6,KV,KV,8,ok,"{""bounce_score"": 22.542, ""degree_avg"": 6.758, ""degree_trend"": 3.968, ""distance_suit"": 9.119, ""form_trend"": 14.168, ""hp_score"": 33.478, ""jockey_score"": 2.098, ""pace_score"": 5.356, ""training_fitness"": 2.513}"
224953,11.05.2026,10,ŞARTLI 5/Dişi,SARTLI,SART5,16,ok,"{""bounce_score"": 11.465, ""degree_avg"": 12.829, ""degree_stability"": 3.01, ""degree_trend"": 21.595, ""distance_suit"": 3.816, ""form_trend"": 13.693, ""hp_score"": 18.803, ""jockey_score"": 4.157, ""pace_score"": 3.103, ""training_fitness"": 5.569, ""weight_impact"": 1.96}"
